speed,ray_front,ray_right,ray_left,ray_rightfront,ray_leftfront,throttle,brakes,steering,Q
299,977.247277,32.65020247,18.63882938,41.48306794,24.27813192,9,4,5,31.42047658
295,869.4066461,33.15699162,18.05764652,41.81063423,23.61268093,9,3,-3,30.89723046
293,916.0226763,33.75926057,17.41148767,43.56682486,21.99301987,3,0,6,30.69300412
291,841.3421973,34.27906423,16.73074325,43.44321339,20.60894371,10,10,4,31.83597847
280,1254.745462,35.17593524,15.83891219,44.54531079,20.39296076,7,6,1,30.71355863
273,1286.003713,35.49889935,15.5122665,44.10405196,19.83189494,10,6,-7,30.30175394
267,1254.270172,35.39111186,15.45384896,44.01903233,19.23046296,1,0,-8,30.10841827
265,1171.275099,35.1940579,16.16367568,44.61526622,20.96718994,4,0,7,31.14311516
264,615.5035359,35.76677625,15.23261858,45.54458429,20.20473252,5,8,5,30.13340874
255,611.5567624,36.25699718,14.98820609,47.56198177,19.43776743,0,6,-1,29.77901081
245,974.7071005,37.27017653,14.02917775,47.87001449,17.41349346,10,3,10,30.54817423
242,982.0477127,37.80448783,14.22259059,47.20557565,18.38250479,3,2,-8,29.49750864
239,974.8716879,37.95455979,13.62508155,47.43849097,17.31359359,8,3,7,29.26109995
237,936.4012716,38.05969546,13.2893294,46.83044707,16.53104365,10,8,-2,29.16318425
229,911.4529788,38.2900646,12.9560539,47.63007049,17.69640813,7,2,10,30.09617206
229,883.2555708,38.30166266,12.91296234,47.558805,16.18202894,5,8,4,29.15415264
221,897.0410133,38.37262213,13.0164573,46.8516615,16.73938924,9,6,10,28.83832325
216,916.7929559,38.06055894,13.43658723,46.29749996,18.85247567,7,5,1,29.56458519
212,929.947377,36.93316787,14.3786719,44.17373677,19.08864247,2,6,9,28.67465016
204,602.2993188,35.05997583,16.31745132,42.30722668,21.55811354,5,1,4,28.3536875
203,463.2451641,33.39166334,17.84629489,40.0971584,24.39420082,2,0,-10,29.04258741
203,389.7351007,31.45617735,20.23515936,38.11303689,26.34913974,4,8,-5,28.30375671
194,384.8981379,29.31627353,22.08343464,35.08133577,29.37623808,6,2,2,28.07597165
193,439.0957372,27.45247751,24.23397397,32.8384863,32.61796737,5,5,-3,28.71968956
189,433.5087654,25.75273418,25.61125555,31.70979433,33.17288343,7,1,9,27.96752819
189,436.1064193,24.56918259,27.35133412,30.26651061,34.43233261,6,8,7,28.60060386
183,351.7677275,22.4767503,28.73060797,26.52103993,37.34634153,9,4,-7,27.87015093
182,270.9375521,20.66898266,30.37123109,25.80475601,40.11038308,10,9,-9,27.64356214
177,262.7148183,18.55435499,32.15667786,23.93873767,43.81964799,4,0,-10,28.28632082
176,323.3909747,16.84467267,34.15755557,21.07163955,44.09872269,2,3,2,27.61624282
173,601.7916126,15.88118937,34.96372483,20.75184464,45.13900669,1,7,-2,27.52926979
165,571.0295631,15.45916764,35.62828623,18.95657429,45.23416612,4,5,2,28.01939043
160,545.6552153,15.23199655,36.32787279,18.66535217,46.02124579,8,2,-7,27.27205925
161,524.781691,14.59232434,36.83397336,19.13329942,46.6816862,8,5,-2,27.09803019
160,490.0676835,14.55415761,37.45082737,20.2550725,47.48193227,5,6,-1,27.74365607
156,468.3953382,14.62713123,37.86103341,19.12271073,46.82055003,8,0,3,27.13859062
158,448.0582717,14.77132066,38.2841049,19.26120077,48.99963274,7,3,5,26.98803248
159,433.9166198,13.79279491,38.82804301,17.76412991,49.28579986,9,4,-6,27.70377213
159,421.8487626,13.30433668,39.52269088,16.77392702,50.7883541,7,3,-10,27.16463083
159,397.6800491,13.21982307,40.24156476,16.7808314,52.35111587,2,2,7,27.04241859
157,365.903222,13.00528541,41.14404002,17.18357015,51.85247591,10,1,8,27.72755276
161,345.9242532,12.19555299,41.8479792,14.95176184,53.02039109,3,2,-1,27.2174011
160,332.4239298,11.35343252,42.65645221,13.87055999,55.139167,9,5,4,27.09595081
159,309.0295728,10.13498302,43.48754056,12.40330954,55.16190423,1,10,-6,27.69342701
148,291.2162988,9.091775879,44.24909985,11.7924578,57.356588,0,3,2,27.03926682
143,270.0872252,8.372445652,45.10214381,11.89157486,57.992758,2,8,3,26.76507892
133,251.5587717,7.497219777,46.19871184,10.84634126,58.43385938,4,8,9,27.2532469
128,240.8784284,7.564073272,46.8922702,10.8509604,59.62629793,4,4,-8,26.60442166
125,228.7699751,7.644415694,47.94756461,10.67999698,59.90785125,6,9,-7,26.40362534
119,208.5034263,7.804672306,48.52341367,10.86815943,58.05138416,4,8,0,26.77838419
113,800,8.946511951,47.66856437,12.27214349,57.01677931,10,7,1,26.17880712
112,175.4577256,9.996869946,47.01254203,14.56201905,54.91499474,4,4,6,26.42756814
110,800,12.14518257,45.84571869,17.9563229,52.00560639,10,2,4,25.91756223
112,147.6773049,14.51213122,44.35781976,20.72236487,51.66438584,1,10,-1,25.79772165
105,133.1109228,17.15827602,42.56199167,27.10366817,49.16243247,0,4,-8,26.21119706
101,119.9091433,19.92569851,40.80507882,30.78679383,45.21553487,9,2,-1,25.66643708
103,103.182438,24.07014978,38.02851573,41.13347107,40.58683052,9,6,7,25.90030084
104,89.99040056,28.43664964,34.18976335,51.9953562,36.60879115,7,6,3,25.51837754
104,800,33.71176917,30.48883824,66.16141986,31.28330911,6,10,-2,25.80256016
